,glottocode,name,region,AES,EGIDS,L1_pop,L1_pop_prop,documentation,area
1088,chip1261,Chipewyan,Northern America,shifting,6b,11900,61599.37194,detailed,3917.414481
1089,quio1240,Quiotepec Chinantec,Central America,threatened,6a,8000,138.8714702,detailed,167.7261263
1090,cher1273,Cherokee,Northern America,threatened,6b,10400,219.4708548,detailed,1915.39043
1091,chol1284,Cholón,South America,extinct,10,0,0.0,detailed,4695.376462
1092,chuv1255,Chuvash,Europe,threatened,4,1043000,27304.99923,detailed,16901.0833
1093,chuw1238,Chuwabu,Africa,not endangered,5,947000,8996.160548,detailed,14947.58243
1094,chan1310,Chantyal,Southern Asia,shifting,6b,4280,48.23194849,basic,95.69083988
1095,chey1247,Cheyenne,Northern America,shifting,6b,2100,2406.209623,detailed,1686.508899
1096,ozum1235,Ozumacín Chinantec,Central America,shifting,6b,3140,57.38766811,basic,211.6471953
1097,ciac1237,Cia-Cia,South-Eastern Asia,not endangered,6a,79000,469.2190456,basic,576.279302
1098,cigb1235,Ci Gbe,Western Africa,not endangered,6a,25000,64.01698704,little or none,198.3956169
1099,chic1270,Chickasaw,Northern America,shifting,8a,600,30.77726104,basic,457.585844
1100,chim1301,Chimariko,Northern America,extinct,10,0,0.0,detailed,8741.065802
1101,cine1238,Cineni,Western Africa,threatened,6a,3000,17.24552036,little or none,2.764925724
1102,chin1475,Chinali,Southern Asia,threatened,6a,750,233.8772332,basic,716.6217847
1103,chit1279,Chitkuli Kinnauri,Southern Asia,threatened,6a,1060,36.68281963,basic,215.1145857
1104,cimb1238,Cimbrian,Europe,shifting,6a,2230,25.77116008,detailed,4983.947521
1105,cint1239,Cinta Larga,South America,shifting,6a,1300,10632.36566,basic,11268.96393
1106,chia1262,Chiapanec,Central America,extinct,9,17,0.163307868,basic,4491.438138
1107,tiri1258,Tiri-Mea,Oceania,shifting,7,600,128.2352891,detailed,841.1957147
1108,chip1241,Chippewa,Northern America,shifting,7,5000,556.2331585,detailed,14358.05756
1109,chai1253,Chaima,South America,shifting,8b,63,1.445921363,basic,10495.86928
1110,west2650,Western Cham,South-Eastern Asia,threatened,6a,233000,101.1059136,basic,18094.64733
1111,chru1239,Chru,South-Eastern Asia,shifting,6b,19300,119.7008285,basic,957.7246071
1112,uppe1439,Upper Chehalis,Northern America,extinct,9,200,3.785806639,basic,6442.600161
